ticker,cik,formType,filedAt,filingUrl
WMT,104169,8-K,2024-01-30T17:40:31-05:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000004/wmt-20240130.htm
MSFT,789019,8-K,2024-01-30T16:03:17-05:00,https://www.sec.gov/Archives/edgar/data/789019/000095017024008809/msft-20240130.htm
TSLA,1318605,8-K,2024-01-24T17:24:27-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000095017024007073/tsla-20240124.htm
NFLX,1065280,8-K,2024-01-23T16:02:17-05:00,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000029/nflx-20240123.htm
MSFT,789019,8-K,2024-01-19T16:39:35-05:00,https://www.sec.gov/Archives/edgar/data/789019/000119312524011295/d708866d8k.htm
META,1326801,8-K,2024-01-17T19:42:58-05:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000003/meta-20240116.htm
TSLA,1318605,8-K,2024-01-02T16:29:17-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000095017024000282/tsla-20240102.htm
AAPL,320193,8-K,2024-02-28T17:09:05-05:00,https://www.sec.gov/Archives/edgar/data/320193/000114036124010155/ny20022580x1_8k.htm
WMT,104169,8-K,2024-02-28T16:35:08-05:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000039/wmt-20240228.htm
WMT,104169,8-K,2024-02-23T17:07:45-05:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000033/wmt-20240223.htm
WMT,104169,8-K,2024-02-20T06:59:55-05:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000019/wmt-20240220.htm
META,1326801,8-K,2024-02-14T16:28:03-05:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000019/meta-20240213.htm
AVGO,1730168,8-K,2024-02-09T16:15:35-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000114036124006724/ef20021201_8k.htm
AVGO,1730168,8-K/A,2024-02-08T16:42:26-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000114036124006447/ef20018945_8ka.htm
AAPL,320193,8-K,2024-02-01T16:30:30-05:00,https://www.sec.gov/Archives/edgar/data/320193/000032019324000005/aapl-20240201.htm
META,1326801,8-K,2024-02-01T16:10:29-05:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000010/meta-20240201.htm
AMZN,1018724,8-K,2024-02-01T16:06:02-05:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000006/amzn-20240201.htm
WMT,104169,8-K,2024-03-28T17:08:43-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000064/wmt-20240328.htm
MSFT,789019,8-K/A,2024-03-08T08:58:04-05:00,https://www.sec.gov/Archives/edgar/data/789019/000119312524062997/d808756d8ka.htm
AVGO,1730168,8-K,2024-03-07T16:18:09-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000012/avgo-20240307.htm
AMZN,1018724,8-K,2024-04-30T16:10:34-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000081/amzn-20240430.htm
MSFT,789019,8-K,2024-04-25T16:03:19-04:00,https://www.sec.gov/Archives/edgar/data/789019/000095017024048268/msft-20240425.htm
META,1326801,8-K,2024-04-24T16:07:26-04:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000044/meta-20240424.htm
AVGO,1730168,8-K,2024-04-23T18:03:08-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000055/avgo-20240422.htm
TSLA,1318605,8-K,2024-04-23T16:09:55-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000095017024046895/tsla-20240423.htm
NFLX,1065280,8-K,2024-04-18T16:02:24-04:00,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000127/nflx-20240412.htm
TSLA,1318605,8-K,2024-04-16T06:07:17-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000095017024044588/tsla-20240414.htm
AMZN,1018724,8-K,2024-04-10T18:24:36-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000110465924045915/tm246113d2_8k.htm
TSLA,1318605,8-K,2024-04-02T16:47:22-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000095017024040274/tsla-20240402.htm
META,1326801,8-K,2024-05-31T16:14:51-04:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000057/meta-20240529.htm
AMZN,1018724,8-K,2024-05-24T16:03:37-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000110465924065117/tm2414140d1_8k.htm
WMT,104169,8-K,2024-05-16T06:59:59-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000088/wmt-20240516.htm
AMZN,1018724,8-K,2024-05-14T16:04:30-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000110465924061143/tm2414460d1_8k.htm
AMZN,1018724,8-K,2024-05-03T16:41:53-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000110465924057026/tm2413032d1_8k.htm
AAPL,320193,8-K,2024-05-03T16:35:42-04:00,https://www.sec.gov/Archives/edgar/data/320193/000114036124024352/ef20028273_8k.htm
AAPL,320193,8-K,2024-05-02T16:30:34-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019324000067/aapl-20240502.htm
TSLA,1318605,8-K,2024-06-14T06:02:55-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000110465924071439/tm2413800d31_8k.htm
AVGO,1730168,8-K,2024-06-12T16:19:05-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000077/avgo-20240612.htm
NFLX,1065280,8-K,2024-06-07T17:15:39-04:00,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000185/nflx-20240606.htm
WMT,104169,8-K,2024-06-07T16:39:29-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000103/wmt-20240605.htm
META,1326801,8-K,2024-07-31T16:11:20-04:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000065/meta-20240731.htm
MSFT,789019,8-K,2024-07-30T16:03:22-04:00,https://www.sec.gov/Archives/edgar/data/789019/000095017024087835/msft-20240730.htm
TSLA,1318605,8-K,2024-07-23T16:32:27-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032603/tsla-20240723.htm
NFLX,1065280,8-K,2024-07-18T16:01:22-04:00,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000199/nflx-20240718.htm
AVGO,1730168,8-K,2024-07-12T16:52:58-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000114036124033072/ny20032136x6_8k.htm
AVGO,1730168,8-K,2024-07-08T08:39:02-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000114036124032566/ny20032136x1_8k.htm
TSLA,1318605,8-K,2024-07-02T09:24:01-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828024030714/tsla-20240702.htm
AAPL,320193,8-K,2024-08-26T17:20:33-04:00,https://www.sec.gov/Archives/edgar/data/320193/000114036124038601/ny20033611x3_8k.htm
