ticker,cik,formType,filedAt,filingUrl
BRK-A,1067983,10-K,2023-02-27T06:04:49-05:00,https://www.sec.gov/Archives/edgar/data/1067983/000095017023004451/brka-20221231.htm
GOOGL,1652044,10-K,2023-02-02T21:23:45-05:00,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm
GOOGL,1652044,10-Q,2023-04-25T20:15:00-04:00,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/goog-20230331.htm
BRK-A,1067983,10-Q,2023-05-08T06:01:35-04:00,https://www.sec.gov/Archives/edgar/data/1067983/000095017023018438/brka-20230331.htm
GOOGL,1652044,10-Q,2023-07-25T19:13:26-04:00,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/goog-20230630.htm
BRK-A,1067983,10-Q,2023-08-07T06:04:06-04:00,https://www.sec.gov/Archives/edgar/data/1067983/000095017023038705/brka-20230630.htm
GOOGL,1652044,10-Q,2023-10-24T18:39:13-04:00,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/goog-20230930.htm
BRK-A,1067983,10-Q,2023-11-06T06:05:03-05:00,https://www.sec.gov/Archives/edgar/data/1067983/000095017023058993/brka-20230930.htm
GOOGL,1652044,10-K,2024-01-30T21:43:43-05:00,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm
BRK-A,1067983,10-K,2024-02-26T06:08:31-05:00,https://www.sec.gov/Archives/edgar/data/1067983/000095017024019719/brka-20231231.htm
GOOGL,1652044,10-Q,2024-04-25T20:22:11-04:00,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/goog-20240331.htm
BRK-A,1067983,10-Q,2024-05-06T06:03:40-04:00,https://www.sec.gov/Archives/edgar/data/1067983/000095017024053185/brka-20240331.htm
GOOGL,1652044,10-Q,2024-07-23T19:12:07-04:00,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/goog-20240630.htm
BRK-A,1067983,10-Q,2024-08-05T06:05:01-04:00,https://www.sec.gov/Archives/edgar/data/1067983/000095017024090305/brka-20240630.htm
GOOGL,1652044,10-Q,2024-10-29T19:33:10-04:00,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/goog-20240930.htm
BRK-A,1067983,10-Q,2024-11-04T06:01:42-05:00,https://www.sec.gov/Archives/edgar/data/1067983/000095017024120241/brka-20240930.htm
GOOGL,1652044,10-K,2025-02-04T20:41:40-05:00,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
