ticker,filename,filing_date,form_type,positive,negative,neutral,overall
GOOG,2024-01-30_10-K_goog-20231231.htm.pdf,2024-01-30,10-K,0.9226559201876322,0.9562224527200063,0.9778495475097939,-0.03356653253237407
GOOG,2024-01-30_8-K_goog-20240130.htm.pdf,2024-01-30,8-K,0.0,0.0,0.9999540249506632,0.0
GOOG,2024-02-08_8-K_goog-20240208.htm.pdf,2024-02-08,8-K,0.0,0.0,0.9999699592590332,0.0
GOOG,2024-04-25_8-K_goog-20240425.htm.pdf,2024-04-25,8-K,0.0,0.0,0.999966025352478,0.0
GOOG,2024-04-25_10-Q_goog-20240331.htm.pdf,2024-04-25,10-Q,0.6768980622291565,0.9080175906419754,0.9817594587802887,-0.2311195284128189
GOOG,2024-06-07_8-K_d787017d8k.htm.pdf,2024-06-07,8-K,0.0,0.0,0.9999837080637614,0.0
GOOG,2024-06-13_8-K_d805807d8k.htm.pdf,2024-06-13,8-K,0.0,0.0,0.9999319553375244,0.0
GOOG,2024-07-23_8-K_goog-20240723.htm.pdf,2024-07-23,8-K,0.0,0.0,0.9999608596165975,0.0
GOOG,2024-07-23_10-Q_goog-20240630.htm.pdf,2024-07-23,10-Q,0.8617775440216064,0.8183048516511917,0.9863065080717206,0.043472692370414734
GOOG,2024-08-05_8-K_goog-20240805.htm.pdf,2024-08-05,8-K,0.0,0.0,0.9999380707740784,0.0
GOOG,2024-10-17_8-K_d627891d8k.htm.pdf,2024-10-17,8-K,0.0,0.0,0.9999313354492188,0.0
GOOG,2024-10-29_8-K_goog-20241029.htm.pdf,2024-10-29,8-K,0.0,0.0,0.9999613364537557,0.0
GOOG,2024-10-29_10-Q_goog-20240930.htm.pdf,2024-10-29,10-Q,0.5741205215454102,0.9897080361843109,0.9733178877469265,-0.41558751463890076
GOOG,2025-02-04_10-K_goog-20241231.htm.pdf,2025-02-04,10-K,0.9983357091744741,0.923373834175222,0.9820405117103032,0.07496187499925211
