ticker,cik,formType,filedAt,filingUrl
TSLA,1318605,10-K,2023-01-30T21:29:15-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm
MSFT,789019,10-Q,2023-01-24T16:34:20-05:00,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/msft-10q_20221231.htm
NVDA,1045810,10-K,2023-02-24T17:23:43-05:00,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
AMZN,1018724,10-K,2023-02-02T18:27:34-05:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm
AAPL,320193,10-Q,2023-02-02T18:01:30-05:00,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm
META,1326801,10-K,2023-02-01T20:26:31-05:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm
WMT,104169,10-K,2023-03-17T17:02:59-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm
AVGO,1730168,10-Q,2023-03-08T16:10:18-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000008/avgo-20230129.htm
AMZN,1018724,10-Q,2023-04-27T18:24:51-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/amzn-20230331.htm
META,1326801,10-Q,2023-04-26T20:56:18-04:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000067/meta-20230331.htm
MSFT,789019,10-Q,2023-04-25T16:07:43-04:00,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/msft-20230331.htm
TSLA,1318605,10-Q,2023-04-21T18:05:23-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000095017023013890/tsla-20230331.htm
NVDA,1045810,10-Q,2023-05-26T16:17:32-04:00,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/nvda-20230430.htm
AAPL,320193,10-Q,2023-05-04T18:03:52-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm
AVGO,1730168,10-Q,2023-06-07T16:22:00-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000064/avgo-20230430.htm
WMT,104169,10-Q,2023-06-02T16:25:13-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416923000052/wmt-20230430.htm
MSFT,789019,10-K,2023-07-27T16:01:56-04:00,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
META,1326801,10-Q,2023-07-26T20:11:08-04:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000093/meta-20230630.htm
TSLA,1318605,10-Q,2023-07-21T18:08:29-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033872/tsla-20230630.htm
NVDA,1045810,10-Q,2023-08-25T19:36:34-04:00,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/nvda-20230730.htm
AMZN,1018724,10-Q,2023-08-03T18:24:35-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/amzn-20230630.htm
AAPL,320193,10-Q,2023-08-03T18:04:43-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm
AVGO,1730168,10-Q,2023-09-06T16:16:18-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000077/avgo-20230730.htm
WMT,104169,10-Q,2023-09-01T16:46:53-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416923000097/wmt-20230731.htm
AMZN,1018724,10-Q,2023-10-26T18:36:51-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/amzn-20230930.htm
META,1326801,10-Q,2023-10-25T20:07:27-04:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000103/meta-20230930.htm
MSFT,789019,10-Q,2023-10-24T16:07:40-04:00,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/msft-20230930.htm
TSLA,1318605,10-Q,2023-10-20T18:41:03-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034847/tsla-20230930.htm
WMT,104169,10-Q,2023-11-30T17:21:40-05:00,https://www.sec.gov/Archives/edgar/data/104169/000010416923000132/wmt-20231031.htm
NVDA,1045810,10-Q,2023-11-21T16:36:29-05:00,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/nvda-20231029.htm
AAPL,320193,10-K,2023-11-02T18:08:27-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
AVGO,1730168,10-K,2023-12-14T16:54:05-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/avgo-20231029.htm
MSFT,789019,10-Q,2024-01-30T16:05:46-05:00,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/msft-20231231.htm
TSLA,1318605,10-K,2024-01-26T21:00:20-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm
NVDA,1045810,10-K,2024-02-21T16:36:57-05:00,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm
META,1326801,10-K,2024-02-01T19:39:02-05:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm
AMZN,1018724,10-K,2024-02-01T18:48:30-05:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm
AAPL,320193,10-Q,2024-02-01T18:03:38-05:00,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/aapl-20231230.htm
WMT,104169,10-K,2024-03-15T16:54:48-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm
AVGO,1730168,10-Q,2024-03-14T16:59:58-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000023/avgo-20240204.htm
AMZN,1018724,10-Q,2024-04-30T18:38:29-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/amzn-20240331.htm
MSFT,789019,10-Q,2024-04-25T16:06:24-04:00,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/msft-20240331.htm
META,1326801,10-Q,2024-04-24T20:14:19-04:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000049/meta-20240331.htm
TSLA,1318605,10-Q,2024-04-23T20:27:48-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828024017503/tsla-20240331.htm
NVDA,1045810,10-Q,2024-05-29T16:36:32-04:00,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/nvda-20240428.htm
AAPL,320193,10-Q,2024-05-02T18:04:25-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/aapl-20240330.htm
AVGO,1730168,10-Q,2024-06-12T20:14:25-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000080/avgo-20240505.htm
WMT,104169,10-Q,2024-06-07T16:45:14-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000105/wmt-20240430.htm
META,1326801,10-Q,2024-07-31T20:14:40-04:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000069/meta-20240630.htm
MSFT,789019,10-K,2024-07-30T16:06:22-04:00,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm
TSLA,1318605,10-Q,2024-07-23T19:41:09-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/tsla-20240630.htm
WMT,104169,10-Q,2024-08-30T16:50:41-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000141/wmt-20240731.htm
NVDA,1045810,10-Q,2024-08-28T17:05:08-04:00,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/nvda-20240728.htm
AMZN,1018724,10-Q,2024-08-01T18:39:50-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/amzn-20240630.htm
AAPL,320193,10-Q,2024-08-01T18:03:34-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/aapl-20240629.htm
AVGO,1730168,10-Q,2024-09-11T16:37:29-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000099/avgo-20240804.htm
AMZN,1018724,10-Q,2024-10-31T18:44:54-04:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/amzn-20240930.htm
META,1326801,10-Q,2024-10-30T19:54:51-04:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/meta-20240930.htm
MSFT,789019,10-Q,2024-10-30T16:07:17-04:00,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/msft-20240930.htm
TSLA,1318605,10-Q,2024-10-23T20:42:47-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/tsla-20240930.htm
NVDA,1045810,10-Q,2024-11-20T16:31:22-05:00,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/nvda-20241027.htm
AAPL,320193,10-K,2024-11-01T06:01:36-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm
AVGO,1730168,10-K,2024-12-20T17:26:46-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm
WMT,104169,10-Q,2024-12-06T16:15:42-05:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000178/wmt-20241031.htm
AAPL,320193,10-Q,2025-01-31T06:01:27-05:00,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/aapl-20241228.htm
TSLA,1318605,10-K,2025-01-29T20:42:33-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm
META,1326801,10-K,2025-01-29T20:00:50-05:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
MSFT,789019,10-Q,2025-01-29T16:11:54-05:00,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/msft-20241231.htm
AMZN,1018724,10-K,2025-02-06T18:40:29-05:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
